name,popularity
Abaco,0
Abbondio,0
Abelardo,0
Abenzio,0
Abramio,0
Acacio,0
Accursio,0
Acilio,0
Acrisio,0
Adalberto,0
Adalgiso,0
Adamo,0
Adelardo,0
Adelchi,0
Adelgardo,0
Adeodato,0
Adone,0
Adrione,0
Agabio,0
Agapito,0
Agenore,0
Agostino,1
Aiace,0
Aimone,0
Alamanno,0
Alarico,0
Alberico,0
Albino,0
Albrico,0
Alceste,0
Alcide,0
Aldo,1
Aleandro,0
Aleramo,0
Alessio,1
Alfonso,0
Algiso,0
Almerigo,0
Aloisio,0
Alviero,0
Amabile,0
Amando,0
Amaranto,0
Amatore,0
Ambrogio,1
Amedeo,1
Amerigo,0
Amilcare,0
Amleto,0
Amore,0
Ampelio,0
Andrea,1
Aniceto,0
Annibale,0
Anselmo,0
Antelmo,0
Antimo,0
Antioco,0
Antonio,1
Apollo,0
Aquilino,0
Aratone,0
Archimede,0
Arcibaldo,0
Arduino,0
Argimiro,0
Arialdo,0
Ariele,0
Aris,0
Aristeo,0
Aristione,0
Aristofane,0
Armando,1
Arnaldo,1
Arrigo,0
Ascanio,0
Asimodeo,0
Asterio,0
Ataleo,0
Athos,0
Attilano,0
Auberto,0
Augusto,1
Aurelio,1
Ausilio,0
Azeglio,0
Bacco,0
Balderico,0
Baldomero,0
Barbarigo,0
Bardomiano,0
Barsaba,0
Bartolo,0
Basileo,0
Bassiano,0
Battista,1
Bellino,0
Benedetto,1
Benigno,0
Benvenuto,0
Berengario,0
Beronico,0
Bertolfo,0
Bibiano,0
Bino,0
Bonagiunta,0
Bonaventura,0
Bonifacio,0
Boris,1
Brancaleone,0
Bruno,1
Caino,0
Calanico,0
Calogero,1
Candido,0
Canziano,0
Carmelo,1
Caronte,0
Casimiro,0
Cassio,0
Cataldo,0
Cecco,0
Celso,0
Cesario,0
Chiaffredo,0
Cipriano,0
Ciriaco,0
Cirino,0
Clarenzio,0
Cleandro,0
Cleonico,0
Clinio,0
Clodoveo,0
Colmazio,0
Colombo,0
Concordio,0
Coreno,0
Cornelio,0
Corrado,1
Cosma,0
Costantino,1
Cremenzio,0
Crescenzio,0
Crispino,0
Cristiano,1
Crocefisso,0
Cupido,0
Daciano,0
Dagoberto,0
Damaso,0
Damocle,0
Danilo,1
Dante,0
Davide,1
Decimo,0
Demetrio,0
Demostene,0
Desiderato,0
Didimo,0
Dino,1
Diodoro,0
Diomede,0
Dionigi,0
Divo,0
Domenico,1
Domiziano,0
Donato,1
Doroteo,0
Duilio,0
Eberardo,0
Edgardo,0
Edmondo,0
Efisio,0
Egeo,0
Eginardo,0
Eleuterio,0
Eliano,0
Eligio,0
Eliodoro,0
Elita,0
Elogio,0
Elvezio,0
Emanuele,1
Emiliano,1
Emmerico,0
Endrigo,0
Enecone,0
Enrico,1
Eraclide,0
Erardo,0
Erberto,0
Ercole,0
Eriberto,0
Ermanno,1
Ermes,0
Ermilo,0
Ernesto,1
Esaù,0
Eterie,0
Euclide,0
Eufemio,0
Eugenio,1
Euseo,0
Eustosio,0
Evaldo,0
Evaristo,0
Everardo,0
Evodio,0
Ezechiele,0
Fabiano,0
Fabrizio,1
Fausto,1
Fedele,0
Fedro,0
Feliciano,0
Fermiano,0
Fernando,1
Festo,0
Fidenzio,0
Filippo,1
Fiorenziano,0
Flaviano,0
Fleano,0
Folco,0
Fosco,0
Franco,0
Frontiniano,0
Fulgenzio,0
Furio,0
Fuscolo,0
Gabino,0
Gaetano,1
Gaio,0
Galeazzo,0
Gallicano,0
Garimberto,0
Gastone,0
Gaudino,0
Gavino,0
Geminiano,0
Genesio,0
Gentile,0
Gerardo,1
Geremia,0
Germano,1
Geronimo,0
Gervasio,0
Gherardo,0
Giacobbe,0
Giadero,0
Gianbattista,0
Giandomenico,0
Gianluca,1
Gianmarco,0
Gianmario,0
Gianpaolo,1
Gianpietro,1
Giasone,0
Gildo,0
Gineto,0
Gioacchino,1
Gioberto,0
Gioele,1
Gionata,0
Giorgio,1
Giosuele,0
Giovanni,1
Gioventino,0
Girardo,0
Giuda,0
Giulio,1
Giustiniano,0
Glauco,0
Golia,0
Gondulfo,0
Gonzaga,0
Gosto,0
Graciliano,0
Graziano,1
Grimaldo,0
Gualtiero,0
Guerrino,0
Guiberto,0
Guiscardo,0
Gustavo,0
Iacopo,1
Iago,0
Icilio,0
Iginio,0
Ignazio,1
Ilario,1
Ildefonso,0
Illuminato,0
Indro,0
Innocenzo,0
Ippocrate,0
Ireneo,0
Isaia,0
Isidoro,0
Italo,1
Ivano,1
Ivo,1
Ladislao,0
Lancilotto,0
Lanfranco,0
Laurentino,0
Lautone,0
Lazzaro,0
Leo,0
Leone,0
Leonio,0
Leopardo,0
Letterio,0
Liberatore,0
Libero,0
Liborio,0
Lieto,0
Lisandro,0
Livio,1
Loreno,0
Loris,1
Luciano,1
Ludano,0
Luigi,1
Macario,0
Maffeo,0
Magno,0
Malco,0
Mancio,0
Manfredo,0
Manlio,0
Manuele,1
Marciano,0
Mariano,1
Mario,1
Martino,1
Massimiliano,1
Matroniano,0
Mattia,1
Maurizio,1
Medardo,0
Melanio,0
Melchiorre,0
Menardo,0
Meneo,0
Mercurio,0
Metrofane,0
Michele,1
Minervino,0
Mirko,1
Misaele,0
Monaldo,0
Moreno,1
Muziano,0
Namazio,0
Narciso,0
Narsete,0
Nazario,0
Nazzaro,0
Neoterio,0
Neri,0
Nicarete,0
Niceforo,0
Nicezio,0
Nicodemo,0
Nicolò,1
Nino,0
Norberto,0
Nunzio,1
Oderico,0
Odorico,0
Olindo,0
Omar,1
Onesto,0
Onorino,0
Orazio,1
Oreste,1
Orio,0
Oronzo,0
Orso,0
Oscar,1
