surname,popularity
Rossi,82 882
Russo,56 105
Ferrari,48 050
Esposito,38 397
Bianchi,34 685
Colombo,30 396
Romano,30 371
Ricci,26 912
Gallo,23 793
Greco,23 723
Conti,23 311
Marino,23 150
De luca,22 740
Bruno,22 577
Costa,22 318
Giordano,21 704
Mancini,21 485
Rizzo,21 253
Lombardi,21 000
Barbieri,19 939
Moretti,19 418
Fontana,19 323
Santoro,17 478
Caruso,17 428
Mariani,17 323
Rinaldi,16 797
Martini,16 477
Ferrara,16 314
Galli,16 009
Leone,15 693
Serra,15 349
Conte,15 333
Villa,14 107
Marini,13 927
Ferri,13 889
Bianco,13 843
Monti,12 858
De santis,12 576
Parisi,12 363
Fiore,11 951
De angelis,11 574
Longo,11 512
Sanna,11 405
Sala,11 254
Romeo,11 234
Martinelli,11 221
Grassi,11 195
Neri,11 140
Marchetti,11 099
Vitale,10 891
Mari,10 865
Gentile,10 626
Viola,10 612
Marchi,10 382
Rossetti,10 348
Messina,10 341
Bellini,10 246
Grasso,10 202
Fabbri,10 188
Franco,10 113
Rosso,10 079
Rizzi,9 993
D angelo,9 992
Morelli,9 975
Giorgi,9 921
Riva,9 908
Mazza,9 728
Palumbo,9 702
De rosa,9 631
Testa,9 519
Coppola,9 517
Amato,9 517
Donati,9 494
Ferro,9 420
Basile,9 367
Ferraro,9 364
Franchi,9 321
Castelli,9 318
Lombardo,9 228
Farina,9 133
Carli,9 040
Bruni,9 024
Piras,8 975
Giuliani,8 886
Martino,8 862
Poli,8 734
Gasparini,8 606
Montanari,8 585
Orlando,8 573
Alberti,8 408
Bernardi,8 246
Silvestri,8 221
Ferretti,8 183
Pellegrino,8 109
Benedetti,8 103
Valenti,8 084
Bassi,8 072
Sartori,8 042
Palmieri,8 017
Cattaneo,8 015
Pozzi,8 014
Milani,7 935
Barone,7 925
Sorrentino,7 909
Carbone,7 901
Grimaldi,7 878
Stella,7 844
Valentini,7 828
Pace,7 786
Moro,7 693
Rosa,7 685
Milano,7 634
Landi,7 630
Volpe,7 619
Valente,7 617
Caputo,7 596
Battaglia,7 586
Calabrese,7 556
Ventura,7 549
Mantovani,7 499
Vitali,7 456
